q [GeV]	         A_3^p(q)
 0.0000000E0    -3.6128179E-9
 1.0204082E-1    -3.4651145E-4
 2.0408163E-1    -1.2788471E-3
 3.0612245E-1    -2.5692804E-3
 4.0816327E-1    -3.9670089E-3
 5.1020408E-1    -5.2648731E-3
 6.1224490E-1    -6.3309634E-3
 7.1428571E-1    -7.1103568E-3
 8.1632653E-1    -7.6060734E-3
 9.1836735E-1    -7.8558696E-3
 1.0204082E0    -7.9120523E-3
 1.1224490E0    -7.8217832E-3
 1.2244898E0    -7.6360395E-3
 1.3265306E0    -7.3817472E-3
 1.4285714E0    -7.0872627E-3
 1.5306122E0    -6.7689116E-3
 1.6326531E0    -6.4418816E-3
 1.7346939E0    -6.1184444E-3
 1.8367347E0    -5.8022648E-3
 1.9387755E0    -5.4961052E-3
 2.0408163E0    -5.2021788E-3
 2.1428571E0    -4.9219540E-3
 2.2448980E0    -4.6561720E-3
 2.3469388E0    -4.4048778E-3
 2.4489796E0    -4.1683005E-3
 2.5510204E0    -3.9464440E-3
 2.6530612E0    -3.7385978E-3
 2.7551020E0    -3.5433035E-3
 2.8571429E0    -3.3596607E-3
 2.9591837E0    -3.1876482E-3
 3.0612245E0    -3.0269264E-3
 3.1632653E0    -2.8767405E-3
 3.2653061E0    -2.7358933E-3
 3.3673469E0    -2.6034735E-3
 3.4693878E0    -2.4793554E-3
 3.5714286E0    -2.3632993E-3
 3.6734694E0    -2.2548547E-3
 3.7755102E0    -2.1533424E-3
 3.8775510E0    -2.0578384E-3
 3.9795918E0    -1.9675669E-3
 4.0816327E0    -1.8824141E-3
 4.1836735E0    -1.8022805E-3
 4.2857143E0    -1.7269788E-3
 4.3877551E0    -1.6562277E-3
 4.4897959E0    -1.5896450E-3
 4.5918367E0    -1.5267411E-3
 4.6938776E0    -1.4670007E-3
 4.7959184E0    -1.4102760E-3
 4.8979592E0    -1.3565260E-3
 5.0000000E0    -1.3056744E-3
